+++++++++++++++++ MAXIMUM GAP LENGTH 50 50
the 1th path length 147
Ac08g024949 524.00 Sb01g323600 3236.00 -1
>LOCALE p-value : 0.00

the 2th path length 146
Ac08g007535 24.00 Sb01g192100 1921.00 1
Ac08g007546 35.00 Sb01g192600 1926.00 1
Ac08g007548 37.00 Sb01g192800 1928.00 1
Ac08g007549 38.00 Sb01g192900 1929.00 1
Ac08g007550 39.00 Sb01g193000 1930.00 1
Ac08g007554 43.00 Sb01g193200 1932.00 1
Ac08g007555 44.00 Sb01g193300 1933.00 -1
Ac08g007556 45.00 Sb01g193400 1934.00 1
Ac08g007557 46.00 Sb01g193500 1935.00 1
Ac08g007558 47.00 Sb01g193600 1936.00 1
Ac08g007559 48.00 Sb01g193700 1937.00 -1
Ac08g007561 50.00 Sb01g194200 1942.00 -1
Ac08g007562 51.00 Sb01g194300 1943.00 1
Ac08g007563 52.00 Sb01g194600 1946.00 1
Ac08g007565 54.00 Sb01g194900 1949.00 -1
Ac08g007566 55.00 Sb01g195000 1950.00 1
Ac08g007568 57.00 Sb01g195200 1952.00 -1
Ac08g007569 58.00 Sb01g195700 1957.00 -1
Ac08g007574 63.00 Sb01g196000 1960.00 1
Ac08g007575 64.00 Sb01g196100 1961.00 1
Ac08g007576 65.00 Sb01g196200 1962.00 1
Ac08g007578 67.00 Sb01g196300 1963.00 1
Ac08g007579 68.00 Sb01g196400 1964.00 1
Ac08g007581 70.00 Sb01g196500 1965.00 -1
Ac08g007584 73.00 Sb01g196600 1966.00 -1
Ac08g007586 75.00 Sb01g196800 1968.00 1
Ac08g007588 77.00 Sb01g197000 1970.00 -1
Ac08g007590 79.00 Sb01g197400 1974.00 -1
Ac08g007592 81.00 Sb01g198100 1981.00 -1
Ac08g007604 93.00 Sb01g199500 1995.00 -1
Ac08g007615 104.00 Sb01g201000 2010.00 -1
Ac08g007617 106.00 Sb01g201300 2013.00 1
Ac08g007621 109.00 Sb01g201600 2016.00 1
Ac08g007622 110.00 Sb01g201700 2017.00 -1
Ac08g007623 111.00 Sb01g202300 2023.00 1
Ac08g007624 112.00 Sb01g202500 2025.00 1
Ac08g007626 114.00 Sb01g202600 2026.00 1
Ac08g007629 117.00 Sb01g203000 2030.00 1
Ac08g007630 118.00 Sb01g203100 2031.00 -1
Ac08g007634 122.00 Sb01g203200 2032.00 -1
Ac08g007636 124.00 Sb01g203500 2035.00 -1
Ac08g007637 125.00 Sb01g203600 2036.00 1
Ac08g007638 126.00 Sb01g203900 2039.00 -1
Ac08g007639 127.00 Sb01g204200 2042.00 1
Ac08g007642 129.00 Sb01g204300 2043.00 -1
Ac08g007643 130.00 Sb01g204900 2049.00 -1
Ac08g007644 131.00 Sb01g205200 2052.00 -1
Ac08g007646 133.00 Sb01g205700 2057.00 1
Ac08g007647 134.00 Sb01g205800 2058.00 -1
Ac08g007648 135.00 Sb01g206200 2062.00 -1
Ac08g007654 141.00 Sb01g206500 2065.00 1
Ac08g007655 142.00 Sb01g206900 2069.00 1
Ac08g007656 143.00 Sb01g207000 2070.00 -1
Ac08g007657 144.00 Sb01g207400 2074.00 1
Ac08g007658 145.00 Sb01g207600 2076.00 -1
Ac08g007659 146.00 Sb01g207700 2077.00 1
Ac08g007660 147.00 Sb01g207800 2078.00 -1
Ac08g007661 148.00 Sb01g208100 2081.00 -1
Ac08g007662 149.00 Sb01g208200 2082.00 -1
Ac08g007663 150.00 Sb01g208300 2083.00 1
Ac08g007664 151.00 Sb01g208600 2086.00 -1
Ac08g007665 152.00 Sb01g208700 2087.00 1
Ac08g007668 155.00 Sb01g209300 2093.00 1
Ac08g007669 156.00 Sb01g209400 2094.00 1
Ac08g007670 157.00 Sb01g209800 2098.00 1
Ac08g007672 159.00 Sb01g210300 2103.00 -1
Ac08g007673 160.00 Sb01g211500 2115.00 1
Ac08g007674 161.00 Sb01g211900 2119.00 -1
Ac08g007675 162.00 Sb01g212000 2120.00 1
Ac08g007676 163.00 Sb01g212100 2121.00 -1
Ac08g007677 164.00 Sb01g212300 2123.00 -1
Ac08g007680 167.00 Sb01g212700 2127.00 1
Ac08g007681 168.00 Sb01g212900 2129.00 -1
Ac08g007690 177.00 Sb01g213400 2134.00 -1
Ac08g007693 179.00 Sb01g214000 2140.00 -1
Ac08g007695 181.00 Sb01g214200 2142.00 -1
Ac08g007696 182.00 Sb01g214600 2146.00 1
Ac08g007697 183.00 Sb01g214800 2148.00 1
Ac08g007698 184.00 Sb01g214900 2149.00 1
Ac08g007699 185.00 Sb01g215000 2150.00 -1
Ac08g007706 192.00 Sb01g215600 2156.00 -1
Ac08g007707 193.00 Sb01g215900 2159.00 -1
Ac08g007709 195.00 Sb01g216100 2161.00 1
Ac08g007712 198.00 Sb01g216200 2162.00 1
Ac08g007713 199.00 Sb01g216300 2163.00 1
Ac08g007714 200.00 Sb01g216500 2165.00 1
Ac08g007716 202.00 Sb01g216600 2166.00 1
Ac08g007721 207.00 Sb01g217100 2171.00 1
Ac08g007722 208.00 Sb01g217200 2172.00 -1
Ac08g007726 210.00 Sb01g217500 2175.00 -1
Ac08g007730 214.00 Sb01g218800 2188.00 1
Ac08g007733 217.00 Sb01g219200 2192.00 1
Ac08g007734 218.00 Sb01g219300 2193.00 -1
Ac08g007739 223.00 Sb01g219400 2194.00 1
Ac08g007740 224.00 Sb01g219600 2196.00 -1
Ac08g007741 225.00 Sb01g219700 2197.00 1
Ac08g007743 227.00 Sb01g219800 2198.00 -1
Ac08g007744 228.00 Sb01g219900 2199.00 -1
Ac08g007749 233.00 Sb01g220300 2203.00 -1
Ac08g007750 234.00 Sb01g220400 2204.00 1
Ac08g007751 235.00 Sb01g220500 2205.00 -1
Ac08g007752 236.00 Sb01g220800 2208.00 -1
Ac08g007753 237.00 Sb01g220900 2209.00 -1
Ac08g007757 241.00 Sb01g221700 2217.00 -1
Ac08g014573 253.00 Sb01g222200 2222.00 -1
Ac08g014574 254.00 Sb01g222300 2223.00 -1
Ac08g014575 255.00 Sb01g222400 2224.00 1
Ac08g014577 257.00 Sb01g222500 2225.00 1
Ac08g014579 259.00 Sb01g222600 2226.00 -1
Ac08g014581 261.00 Sb01g222700 2227.00 1
Ac08g014583 263.00 Sb01g223800 2238.00 1
Ac08g014585 265.00 Sb01g224300 2243.00 -1
Ac08g014586 266.00 Sb01g224600 2246.00 -1
Ac08g014590 270.00 Sb01g225700 2257.00 1
Ac08g014592 272.00 Sb01g225800 2258.00 -1
Ac08g014593 273.00 Sb01g226000 2260.00 1
Ac08g014604 284.00 Sb01g226200 2262.00 -1
Ac08g014606 286.00 Sb01g226300 2263.00 1
Ac08g014607 287.00 Sb01g226600 2266.00 1
Ac08g014610 289.00 Sb01g226700 2267.00 -1
Ac08g014612 291.00 Sb01g227100 2271.00 1
Ac08g014613 292.00 Sb01g227200 2272.00 1
Ac08g014616 295.00 Sb01g227400 2274.00 1
Ac08g014619 298.00 Sb01g228000 2280.00 -1
Ac08g014620 299.00 Sb01g228200 2282.00 -1
Ac08g014622 301.00 Sb01g228400 2284.00 -1
Ac08g014628 307.00 Sb01g229100 2291.00 1
Ac08g014632 311.00 Sb01g229600 2296.00 -1
Ac08g014636 315.00 Sb01g230100 2301.00 -1
Ac08g014642 321.00 Sb01g230200 2302.00 1
Ac08g014643 322.00 Sb01g230400 2304.00 1
Ac08g014646 325.00 Sb01g230700 2307.00 1
Ac08g014648 327.00 Sb01g230900 2309.00 -1
Ac08g014649 328.00 Sb01g231000 2310.00 -1
Ac08g022188 348.00 Sb01g233500 2335.00 -1
Ac08g022182 354.00 Sb01g233700 2337.00 -1
Ac08g022179 355.00 Sb01g233800 2338.00 -1
Ac08g019942 370.00 Sb01g234800 2348.00 -1
Ac08g019950 377.00 Sb01g235700 2357.00 -1
Ac08g019952 378.00 Sb01g235900 2359.00 -1
Ac08g019962 386.00 Sb01g236200 2362.00 1
Ac08g019969 391.00 Sb01g237300 2373.00 -1
Ac08g019970 392.00 Sb01g237600 2376.00 1
Ac08g022141 429.00 Sb01g238800 2388.00 1
Ac08g022143 431.00 Sb01g238900 2389.00 -1
Ac08g022149 435.00 Sb01g239000 2390.00 1
>LOCALE p-value : 0.00

the 3th path length 46
Ac08g022142 430.00 Sb01g499300 4993.00 -1
Ac08g024070 424.00 Sb01g500000 5000.00 -1
Ac08g010047 406.00 Sb01g500300 5003.00 -1
Ac08g019975 397.00 Sb01g500800 5008.00 -1
Ac08g019970 392.00 Sb01g501000 5010.00 1
Ac08g019969 391.00 Sb01g501100 5011.00 -1
Ac08g019946 374.00 Sb01g501400 5014.00 1
Ac08g019945 373.00 Sb01g501800 5018.00 1
Ac08g019942 370.00 Sb01g502100 5021.00 -1
Ac08g022166 365.00 Sb01g502400 5024.00 -1
Ac08g022167 364.00 Sb01g502600 5026.00 1
Ac08g022173 360.00 Sb01g502700 5027.00 -1
Ac08g022183 353.00 Sb01g503300 5033.00 1
Ac08g022185 351.00 Sb01g503400 5034.00 -1
Ac08g022188 348.00 Sb01g503500 5035.00 -1
Ac08g022951 337.00 Sb01g503600 5036.00 -1
Ac08g022946 332.00 Sb01g503900 5039.00 -1
Ac08g014648 327.00 Sb01g505200 5052.00 -1
Ac08g014646 325.00 Sb01g505300 5053.00 1
Ac08g014645 324.00 Sb01g505500 5055.00 -1
Ac08g014631 310.00 Sb01g506000 5060.00 1
Ac08g014629 308.00 Sb01g506100 5061.00 1
Ac08g014628 307.00 Sb01g506500 5065.00 1
Ac08g014627 306.00 Sb01g507000 5070.00 -1
Ac08g014625 304.00 Sb01g507100 5071.00 1
Ac08g014624 303.00 Sb01g507200 5072.00 1
Ac08g014621 300.00 Sb01g507400 5074.00 1
Ac08g014620 299.00 Sb01g507500 5075.00 -1
Ac08g014618 297.00 Sb01g507900 5079.00 -1
Ac08g014617 296.00 Sb01g508100 5081.00 -1
Ac08g014614 293.00 Sb01g508400 5084.00 -1
Ac08g014612 291.00 Sb01g508600 5086.00 1
Ac08g014607 287.00 Sb01g508800 5088.00 1
Ac08g014606 286.00 Sb01g509100 5091.00 1
Ac08g014602 282.00 Sb01g509300 5093.00 1
Ac08g014599 279.00 Sb01g509700 5097.00 1
Ac08g014598 278.00 Sb01g510000 5100.00 1
Ac08g014597 277.00 Sb01g510300 5103.00 1
Ac08g014592 272.00 Sb01g510500 5105.00 -1
Ac08g014591 271.00 Sb01g510700 5107.00 -1
Ac08g014590 270.00 Sb01g510800 5108.00 1
Ac08g014582 262.00 Sb01g511200 5112.00 1
Ac08g014576 256.00 Sb01g511500 5115.00 -1
Ac08g014575 255.00 Sb01g511900 5119.00 1
Ac08g014574 254.00 Sb01g512000 5120.00 -1
Ac08g007721 207.00 Sb01g512100 5121.00 1
>LOCALE p-value : 0.00

the 4th path length 37
Ac08g011669 909.00 Sb01g502300 5023.00 1
Ac08g011705 874.00 Sb01g505100 5051.00 1
Ac08g011730 850.00 Sb01g506500 5065.00 -1
Ac08g011763 818.00 Sb01g510400 5104.00 1
Ac08g011781 801.00 Sb01g512100 5121.00 -1
Ac08g011782 800.00 Sb01g512200 5122.00 1
Ac08g011783 799.00 Sb01g512300 5123.00 1
Ac08g011784 798.00 Sb01g512500 5125.00 -1
Ac08g011788 794.00 Sb01g512800 5128.00 -1
Ac08g011790 792.00 Sb01g512900 5129.00 -1
Ac08g011792 790.00 Sb01g513000 5130.00 -1
Ac08g011793 789.00 Sb01g513100 5131.00 1
Ac08g011794 788.00 Sb01g513300 5133.00 1
Ac08g011795 787.00 Sb01g513400 5134.00 -1
Ac08g011798 784.00 Sb01g513800 5138.00 -1
Ac08g011801 781.00 Sb01g514200 5142.00 -1
Ac08g011802 780.00 Sb01g514400 5144.00 -1
Ac08g011804 778.00 Sb01g514700 5147.00 -1
Ac08g011825 758.00 Sb01g515800 5158.00 1
Ac08g011835 748.00 Sb01g517100 5171.00 1
Ac08g011836 747.00 Sb01g517800 5178.00 -1
Ac08g011837 746.00 Sb01g517900 5179.00 1
Ac08g011838 745.00 Sb01g518000 5180.00 1
Ac08g011839 744.00 Sb01g518100 5181.00 1
Ac08g011840 743.00 Sb01g518200 5182.00 -1
Ac08g011841 742.00 Sb01g518300 5183.00 -1
Ac08g011848 736.00 Sb01g518400 5184.00 -1
Ac08g011851 733.00 Sb01g518500 5185.00 -1
Ac08g011853 731.00 Sb01g518800 5188.00 1
Ac08g011855 729.00 Sb01g518900 5189.00 -1
Ac08g011856 728.00 Sb01g519000 5190.00 -1
Ac08g011861 723.00 Sb01g519900 5199.00 -1
Ac08g011866 718.00 Sb01g520100 5201.00 -1
Ac08g011867 717.00 Sb01g520200 5202.00 1
Ac08g016665 712.00 Sb01g521500 5215.00 -1
Ac08g016614 663.00 Sb01g525400 5254.00 -1
Ac08g013915 613.00 Sb01g525500 5255.00 -1
>LOCALE p-value : 0.00

the 5th path length 29
>LOCALE p-value : 0.00
overlap with block 3+1th

the 6th path length 22
Ac08g011775 806.00 Sb01g538400 5384.00 -1
Ac08g011772 808.00 Sb01g538700 5387.00 1
Ac08g011771 810.00 Sb01g538800 5388.00 1
Ac08g011764 817.00 Sb01g539000 5390.00 -1
Ac08g011759 822.00 Sb01g540100 5401.00 1
Ac08g011758 823.00 Sb01g540200 5402.00 1
Ac08g011757 824.00 Sb01g540300 5403.00 1
Ac08g011756 825.00 Sb01g540400 5404.00 1
Ac08g011750 831.00 Sb01g540700 5407.00 1
Ac08g011741 840.00 Sb01g541200 5412.00 -1
Ac08g011738 843.00 Sb01g541400 5414.00 -1
Ac08g011730 850.00 Sb01g541600 5416.00 -1
Ac08g011715 864.00 Sb01g542200 5422.00 -1
Ac08g011714 865.00 Sb01g542300 5423.00 1
Ac08g011693 884.00 Sb01g543000 5430.00 -1
Ac08g011690 888.00 Sb01g543200 5432.00 1
Ac08g011685 893.00 Sb01g543300 5433.00 1
Ac08g011682 894.00 Sb01g543500 5435.00 1
Ac08g011672 906.00 Sb01g543700 5437.00 -1
Ac08g011670 908.00 Sb01g543900 5439.00 -1
Ac08g011647 931.00 Sb01g544100 5441.00 -1
Ac08g018842 981.00 Sb01g544600 5446.00 -1
>LOCALE p-value : 0.00

the 7th path length 18
Ac08g013912 610.00 Sb01g529700 5297.00 1
Ac08g013911 609.00 Sb01g529800 5298.00 -1
Ac08g013910 608.00 Sb01g529900 5299.00 -1
Ac08g013908 606.00 Sb01g530100 5301.00 1
Ac08g013906 604.00 Sb01g530300 5303.00 1
Ac08g013901 601.00 Sb01g530500 5305.00 -1
Ac08g013894 596.00 Sb01g531300 5313.00 1
Ac08g013892 594.00 Sb01g531500 5315.00 1
Ac08g013891 593.00 Sb01g531700 5317.00 1
Ac08g013890 592.00 Sb01g531800 5318.00 -1
Ac08g013887 589.00 Sb01g531900 5319.00 1
Ac08g013886 588.00 Sb01g532000 5320.00 1
Ac08g013882 584.00 Sb01g532100 5321.00 -1
Ac08g013879 581.00 Sb01g532200 5322.00 1
Ac08g013875 577.00 Sb01g532300 5323.00 1
Ac08g013871 573.00 Sb01g532500 5325.00 -1
Ac08g013868 570.00 Sb01g532700 5327.00 1
Ac08g024949 524.00 Sb01g533200 5332.00 -1
>LOCALE p-value : 0.00

the 8th path length 17
Ac08g007544 33.00 Sb01g533200 5332.00 -1
Ac08g007546 35.00 Sb01g533300 5333.00 1
Ac08g007548 37.00 Sb01g533600 5336.00 1
Ac08g007550 39.00 Sb01g533700 5337.00 1
Ac08g007563 52.00 Sb01g534300 5343.00 1
Ac08g007579 68.00 Sb01g534600 5346.00 1
Ac08g007581 70.00 Sb01g534700 5347.00 -1
Ac08g007614 103.00 Sb01g534800 5348.00 1
Ac08g007617 106.00 Sb01g535400 5354.00 1
Ac08g007627 115.00 Sb01g535700 5357.00 -1
Ac08g007653 140.00 Sb01g535800 5358.00 -1
Ac08g007686 173.00 Sb01g536000 5360.00 1
Ac08g007695 181.00 Sb01g536100 5361.00 -1
Ac08g007701 187.00 Sb01g536300 5363.00 -1
Ac08g007704 190.00 Sb01g536400 5364.00 1
Ac08g007712 198.00 Sb01g537200 5372.00 1
Ac08g007722 208.00 Sb01g537300 5373.00 -1
>LOCALE p-value : 0.00

the 9th path length 16
Ac08g013863 568.00 Sb01g436100 4361.00 1
Ac08g013856 561.00 Sb01g436200 4362.00 1
Ac08g013855 560.00 Sb01g436300 4363.00 1
Ac08g013852 557.00 Sb01g436500 4365.00 1
Ac08g013826 536.00 Sb01g437000 4370.00 1
Ac08g024860 530.00 Sb01g437100 4371.00 1
Ac08g024853 528.00 Sb01g437300 4373.00 -1
Ac08g024950 525.00 Sb01g437400 4374.00 -1
Ac08g023317 517.00 Sb01g437500 4375.00 1
Ac08g023319 516.00 Sb01g437800 4378.00 1
Ac08g023331 508.00 Sb01g438800 4388.00 -1
Ac08g026770 497.00 Sb01g439100 4391.00 1
Ac08g027098 473.00 Sb01g440100 4401.00 1
Ac08g026313 465.00 Sb01g440200 4402.00 1
Ac08g026255 451.00 Sb01g440500 4405.00 1
Ac08g010042 404.00 Sb01g441700 4417.00 -1
>LOCALE p-value : 0.00

the 10th path length 11
>LOCALE p-value : 0.00
overlap with block 1+1th

the 11th path length 10
>LOCALE p-value : 0.00
overlap with block 0+1th

the 12th path length 9
>LOCALE p-value : 0.00
overlap with block 0+1th

the 13th path length 8
>LOCALE p-value : 0.00
overlap with block 3+1th

the 14th path length 7
>LOCALE p-value : 0.00
overlap with block 0+1th

the 15th path length 7
Ac08g017007 1059.00 Sb01g006600 66.00 1
Ac08g016989 1041.00 Sb01g006900 69.00 -1
Ac08g016980 1032.00 Sb01g007200 72.00 1
Ac08g026874 1019.00 Sb01g007600 76.00 1
Ac08g018873 1011.00 Sb01g007700 77.00 1
Ac08g018865 1004.00 Sb01g008600 86.00 -1
Ac08g022302 954.00 Sb01g010900 109.00 1
>LOCALE p-value : 0.00

the 16th path length 6
>LOCALE p-value : 0.00
overlap with block 2+1th

the 17th path length 6
Ac08g024853 528.00 Sb01g261700 2617.00 -1
Ac08g023319 516.00 Sb01g263500 2635.00 1
Ac08g023326 513.00 Sb01g263600 2636.00 1
Ac08g027991 492.00 Sb01g264000 2640.00 1
Ac08g031243 490.00 Sb01g265700 2657.00 -1
Ac08g022157 442.00 Sb01g266400 2664.00 -1
>LOCALE p-value : 0.00

the 18th path length 6
Ac08g007685 172.00 Sb01g352800 3528.00 1
Ac08g007656 143.00 Sb01g356600 3566.00 -1
Ac08g007619 107.00 Sb01g358900 3589.00 -1
Ac08g007586 75.00 Sb01g361300 3613.00 1
Ac08g007577 66.00 Sb01g363700 3637.00 1
Ac08g007528 17.00 Sb01g365800 3658.00 -1
>LOCALE p-value : 0.00

the 19th path length 5
Ac08g014599 279.00 Sb01g151300 1513.00 1
Ac08g014595 275.00 Sb01g155100 1551.00 -1
Ac08g007750 234.00 Sb01g158300 1583.00 1
Ac08g007727 211.00 Sb01g160500 1605.00 1
Ac08g007674 161.00 Sb01g162100 1621.00 -1
>LOCALE p-value : 0.00

the 20th path length 5
Ac08g007686 173.00 Sb01g022800 228.00 1
Ac08g007659 146.00 Sb01g023800 238.00 1
Ac08g007646 133.00 Sb01g025300 253.00 1
Ac08g007605 94.00 Sb01g030100 301.00 1
Ac08g007555 44.00 Sb01g030400 304.00 -1
>LOCALE p-value : 0.00

the 21th path length 5
>LOCALE p-value : 0.00
overlap with block 7+1th

the 22th path length 5
Ac08g022172 361.00 Sb01g002300 23.00 1
Ac08g022164 367.00 Sb01g002600 26.00 -1
Ac08g019969 391.00 Sb01g003400 34.00 -1
Ac08g010042 404.00 Sb01g003500 35.00 -1
Ac08g022141 429.00 Sb01g003600 36.00 1
